timestamp,service,environment,status_code,response_time,user_id,endpoint,request_size,response_size,language
2025-03-17T08:37:04.432165,payment-service,on-prem,200,86.17,user_987,/payments/verify,531,716,nodejs
2025-03-06T08:36:58.886603,payment-service,on-prem,200,100.55,user_935,/payments,2407,2900,golang
2025-03-18T08:37:03.196922,user-service,azure-cloud,201,161.31,user_882,/users/search,1083,1095,golang
2025-03-07T08:37:02.318323,auth-service,azure-cloud,200,110.01,user_117,/auth/login,4480,876,nodejs
2025-03-11T08:37:00.649993,inventory-service,aws-cloud,201,132.39,user_654,/inventory,1611,1507,nodejs
2025-03-17T08:36:56.705758,payment-service,gcp-cloud,200,86.44,user_43,/payments,3240,1652,golang
2025-03-19T08:36:56.658578,inventory-service,on-prem,201,55.2,user_884,/products,3009,1560,java
2025-03-26T08:36:58.813754,payment-service,aws-cloud,201,134.92,user_97,/payments/verify,3623,1658,python
2025-03-20T08:37:04.760996,payment-service,azure-cloud,200,144.1,user_185,/payments,3194,2910,golang
2025-03-27T08:37:00.727237,inventory-service,gcp-cloud,200,98.76,user_317,/products/{id},1331,2428,golang
2025-03-31T08:37:01.569988,auth-service,aws-cloud,200,158.03,user_666,/auth/token,2091,1881,python
2025-03-11T08:36:57.236071,auth-service,gcp-cloud,200,102.54,user_448,/auth/register,3047,87,nodejs
2025-03-28T08:37:02.280751,payment-service,on-prem,201,89.25,user_605,/payments/{id},2842,2921,golang
2025-03-16T08:37:01.882412,payment-service,gcp-cloud,200,126.82,user_672,/payments/verify,2073,526,java
2025-03-12T08:36:56.213361,inventory-service,gcp-cloud,200,69.65,user_292,/products/{id},3585,740,golang
2025-03-23T08:37:03.307531,user-service,gcp-cloud,500,185.34,user_115,/users,1594,734,nodejs
2025-03-25T08:37:03.607377,payment-service,gcp-cloud,201,79.97,user_70,/payments,1842,2150,python
2025-03-31T08:37:05.027037,user-service,on-prem,200,78.46,user_952,/users/search,633,2507,java
2025-03-09T08:37:00.145233,payment-service,on-prem,201,74.2,user_602,/payments,3424,2461,golang
2025-03-30T08:36:56.307069,auth-service,azure-cloud,201,139.42,user_583,/auth/register,4964,2807,nodejs
2025-03-25T08:37:05.022701,payment-service,azure-cloud,201,127.55,user_964,/payments/verify,968,1823,nodejs
2025-03-24T08:37:00.793934,payment-service,aws-cloud,201,129.78,user_186,/payments,2831,501,python
2025-03-28T08:37:03.524973,payment-service,azure-cloud,201,144.14,user_44,/payments/verify,4644,1046,golang
2025-03-20T08:36:57.472864,user-service,on-prem,201,65.48,user_301,/users,1393,204,java
2025-03-08T08:37:00.319862,payment-service,on-prem,200,103.87,user_1,/payments,3407,2062,golang
2025-03-10T08:36:58.557347,user-service,on-prem,200,48.53,user_866,/users/{id},1477,2729,java
2025-03-31T08:36:58.832842,user-service,azure-cloud,201,166.3,user_427,/users,404,958,java
2025-03-06T08:36:59.521258,inventory-service,on-prem,201,71.02,user_1,/products,1843,2711,python
2025-03-28T08:37:02.213214,auth-service,on-prem,200,60.84,user_618,/auth/login,2038,1846,java
2025-03-08T08:37:04.956338,user-service,aws-cloud,200,125.24,user_724,/users/{id},911,632,nodejs
2025-03-02T08:37:01.629268,auth-service,gcp-cloud,200,88.71,user_626,/auth/register,4822,451,nodejs
2025-03-25T08:37:02.534926,auth-service,aws-cloud,201,99.38,user_935,/auth/token,2166,2628,golang
2025-03-27T08:37:00.314330,user-service,aws-cloud,200,122.07,user_364,/users,3668,2220,golang
2025-03-25T08:37:02.121223,user-service,aws-cloud,400,193.49,user_793,/users/search,996,2483,python
2025-03-31T08:37:03.558710,auth-service,aws-cloud,201,105.21,user_446,/auth/login,3173,585,nodejs
2025-03-24T08:37:04.724400,payment-service,aws-cloud,201,97.16,user_109,/payments,1437,2961,java
2025-03-25T08:36:57.503785,auth-service,on-prem,500,142.27,user_497,/auth/login,1909,1742,golang
